,page_url,car_name,car_brand,car_model,car_type,car_age,kilometers,fuel,power,cm,price,ad_no
145,https://www.polovniautomobili.com/auto-oglasi/21836367/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
146,https://www.polovniautomobili.com/auto-oglasi/21835548/alfa-romeo-145?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
147,https://www.polovniautomobili.com/auto-oglasi/21687218/alfa-romeo-147-putnicko-vozilo?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
148,https://www.polovniautomobili.com/auto-oglasi/21834807/alfa-romeo-147-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
149,https://www.polovniautomobili.com/auto-oglasi/21833260/alfa-romeo-156-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
150,https://www.polovniautomobili.com/auto-oglasi/21660558/alfa-romeo-147?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
151,https://www.polovniautomobili.com/auto-oglasi/21783481/alfa-romeo-156?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
152,https://www.polovniautomobili.com/auto-oglasi/21727517/alfa-romeo-156-19jtd-8v?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
153,https://www.polovniautomobili.com/auto-oglasi/21561204/alfa-romeo-147-16?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
154,https://www.polovniautomobili.com/auto-oglasi/21852694/alfa-romeo-156-18?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
155,https://www.polovniautomobili.com/auto-oglasi/21556375/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
156,https://www.polovniautomobili.com/auto-oglasi/21850884/alfa-romeo-156-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
157,https://www.polovniautomobili.com/auto-oglasi/21849698/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
158,https://www.polovniautomobili.com/auto-oglasi/21849103/alfa-romeo-147-16-ts?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
159,https://www.polovniautomobili.com/auto-oglasi/21846260/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
160,https://www.polovniautomobili.com/auto-oglasi/21690968/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
161,https://www.polovniautomobili.com/auto-oglasi/21849375/alfa-romeo-156-19-jtd-regist?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
162,https://www.polovniautomobili.com/auto-oglasi/21857348/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
163,https://www.polovniautomobili.com/auto-oglasi/21840723/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
164,https://www.polovniautomobili.com/auto-oglasi/20311694/alfa-romeo-147-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
165,https://www.polovniautomobili.com/auto-oglasi/21839720/alfa-romeo-147-alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
166,https://www.polovniautomobili.com/auto-oglasi/21839475/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
167,https://www.polovniautomobili.com/auto-oglasi/21838897/alfa-romeo-145-alfa-145-14?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
168,https://www.polovniautomobili.com/auto-oglasi/21838155/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
169,https://www.polovniautomobili.com/auto-oglasi/21837374/alfa-romeo-146-citaj?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
170,https://www.polovniautomobili.com/auto-oglasi/21836367/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
171,https://www.polovniautomobili.com/auto-oglasi/21835548/alfa-romeo-145?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
172,https://www.polovniautomobili.com/auto-oglasi/21687218/alfa-romeo-147-putnicko-vozilo?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
173,https://www.polovniautomobili.com/auto-oglasi/21834807/alfa-romeo-147-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
174,https://www.polovniautomobili.com/auto-oglasi/21833260/alfa-romeo-156-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
175,https://www.polovniautomobili.com/auto-oglasi/21660558/alfa-romeo-147?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
176,https://www.polovniautomobili.com/auto-oglasi/21783481/alfa-romeo-156?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
177,https://www.polovniautomobili.com/auto-oglasi/21727517/alfa-romeo-156-19jtd-8v?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
178,https://www.polovniautomobili.com/auto-oglasi/21561204/alfa-romeo-147-16?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
179,https://www.polovniautomobili.com/auto-oglasi/21852694/alfa-romeo-156-18?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
180,https://www.polovniautomobili.com/auto-oglasi/21556375/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
181,https://www.polovniautomobili.com/auto-oglasi/21850884/alfa-romeo-156-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
182,https://www.polovniautomobili.com/auto-oglasi/21849698/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
183,https://www.polovniautomobili.com/auto-oglasi/21849103/alfa-romeo-147-16-ts?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
184,https://www.polovniautomobili.com/auto-oglasi/21846260/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
